NewCount,EVENT_TYPE,POPULATION,RACE,RATE,SEX,SITE,YEAR,AGE_GRP
121,Incidence,8871325,All Races,1.4,Female,Ovary,1999,15-19
129,Incidence,8249208,All Races,1.6,Female,Ovary,1999,20-24
204,Incidence,8807625,All Races,2.3,Female,Ovary,1999,25-29
288,Incidence,9335537,All Races,3.1,Female,Ovary,1999,30-34
544,Incidence,10444222,All Races,5.2,Female,Ovary,1999,35-39
1052,Incidence,10187015,All Races,10.3,Female,Ovary,1999,40-44
1567,Incidence,9076886,All Races,17.3,Female,Ovary,1999,45-49
1898,Incidence,7837222,All Races,24.2,Female,Ovary,1999,50-54
1953,Incidence,6119230,All Races,31.9,Female,Ovary,1999,55-59
2030,Incidence,5072270,All Races,40,Female,Ovary,1999,60-64
2117,Incidence,4656429,All Races,45.5,Female,Ovary,1999,65-69
2401,Incidence,4534342,All Races,53,Female,Ovary,1999,70-74
2281,Incidence,3950417,All Races,57.7,Female,Ovary,1999,75-79
1623,Incidence,2813895,All Races,57.7,Female,Ovary,1999,80-84
1302,Incidence,2705371,All Races,48.1,Female,Ovary,1999,85+
17,Incidence,531452,Asian/Pacific Islander,3.2,Female,Ovary,1999,25-29
18,Incidence,506546,Asian/Pacific Islander,3.6,Female,Ovary,1999,30-34
27,Incidence,491768,Asian/Pacific Islander,5.5,Female,Ovary,1999,35-39
43,Incidence,461496,Asian/Pacific Islander,9.3,Female,Ovary,1999,40-44
64,Incidence,408090,Asian/Pacific Islander,15.7,Female,Ovary,1999,45-49
51,Incidence,328341,Asian/Pacific Islander,15.5,Female,Ovary,1999,50-54
52,Incidence,227040,Asian/Pacific Islander,22.9,Female,Ovary,1999,55-59
46,Incidence,181989,Asian/Pacific Islander,25.3,Female,Ovary,1999,60-64
34,Incidence,155506,Asian/Pacific Islander,21.9,Female,Ovary,1999,65-69
29,Incidence,126657,Asian/Pacific Islander,22.9,Female,Ovary,1999,70-74
28,Incidence,87877,Asian/Pacific Islander,31.9,Female,Ovary,1999,75-79
19,Incidence,1299014,Black,1.5,Female,Ovary,1999,15-19
28,Incidence,1228776,Black,2.3,Female,Ovary,1999,25-29
26,Incidence,1260548,Black,2.1,Female,Ovary,1999,30-34
41,Incidence,1346469,Black,3,Female,Ovary,1999,35-39
96,Incidence,1255835,Black,7.6,Female,Ovary,1999,40-44
108,Incidence,1052666,Black,10.3,Female,Ovary,1999,45-49
125,Incidence,827304,Black,15.1,Female,Ovary,1999,50-54
131,Incidence,624816,Black,21,Female,Ovary,1999,55-59
137,Incidence,516783,Black,26.5,Female,Ovary,1999,60-64
134,Incidence,443965,Black,30.2,Female,Ovary,1999,65-69
155,Incidence,377156,Black,41.1,Female,Ovary,1999,70-74
141,Incidence,294801,Black,47.8,Female,Ovary,1999,75-79
78,Incidence,193303,Black,40.4,Female,Ovary,1999,80-84
77,Incidence,187844,Black,41,Female,Ovary,1999,85+
22,Incidence,1400229,Hispanic,1.6,Female,Ovary,1999,15-19
25,Incidence,1427950,Hispanic,1.8,Female,Ovary,1999,20-24
31,Incidence,1456247,Hispanic,2.1,Female,Ovary,1999,25-29
29,Incidence,1381837,Hispanic,2.1,Female,Ovary,1999,30-34
50,Incidence,1270371,Hispanic,3.9,Female,Ovary,1999,35-39
93,Incidence,1051681,Hispanic,8.8,Female,Ovary,1999,40-44
131,Incidence,823978,Hispanic,15.9,Female,Ovary,1999,45-49
151,Incidence,643459,Hispanic,23.5,Female,Ovary,1999,50-54
96,Incidence,468585,Hispanic,20.5,Female,Ovary,1999,55-59
124,Incidence,382221,Hispanic,32.4,Female,Ovary,1999,60-64
107,Incidence,314209,Hispanic,34.1,Female,Ovary,1999,65-69
103,Incidence,256697,Hispanic,40.1,Female,Ovary,1999,70-74
99,Incidence,178805,Hispanic,55.4,Female,Ovary,1999,75-79
57,Incidence,104968,Hispanic,54.3,Female,Ovary,1999,80-84
36,Incidence,94869,Hispanic,37.9,Female,Ovary,1999,85+
88,Incidence,7040477,White,1.2,Female,Ovary,1999,15-19
105,Incidence,6515194,White,1.6,Female,Ovary,1999,20-24
152,Incidence,6947647,White,2.2,Female,Ovary,1999,25-29
238,Incidence,7469121,White,3.2,Female,Ovary,1999,30-34
468,Incidence,8496159,White,5.5,Female,Ovary,1999,35-39
899,Incidence,8367890,White,10.7,Female,Ovary,1999,40-44
1372,Incidence,7531830,White,18.2,Female,Ovary,1999,45-49
1706,Incidence,6615063,White,25.8,Female,Ovary,1999,50-54
1749,Incidence,5220125,White,33.5,Female,Ovary,1999,55-59
